reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
12,1,418.76,12090,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
12,2,413.89,12710,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
12,3,409.33,12808,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),TJQ,
12,1,393.19,12280,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
12,2,404.86,12680,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
12,3,410.11,12000,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,TJQ,
12,1,387.77,11200,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
12,2,402.05,12640,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
12,3,397.76,12950,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,TJQ,
12,1,428.8,15040,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
12,2,464.65,15920,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
12,3,461.76,15720,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,TJQ,
